0.000000	1.000000
0.020000	1.020201
0.040000	1.040811
0.060000	1.061837
0.080000	1.083287
0.100000	1.105171
0.120000	1.127497
0.140000	1.150274
0.160000	1.173511
0.180000	1.197217
0.200000	1.221403
0.220000	1.246077
0.240000	1.271249
0.260000	1.296930
0.280000	1.323130
0.300000	1.349859
0.320000	1.377127
0.340000	1.404947
0.360000	1.433329
0.380000	1.462284
0.400000	1.491824
0.420000	1.521961
0.440000	1.552707
0.460000	1.584073
0.480000	1.616074
0.500000	1.648721
0.520000	1.682027
0.540000	1.716006
0.560000	1.750672
0.580000	1.786038
0.600000	1.822118
0.620000	1.858927
0.640000	1.896480
0.660000	1.934791
0.680000	1.973877
0.700000	2.013752
0.720000	2.054432
0.740000	2.095934
0.760000	2.138275
0.780000	2.181471
0.800000	2.225540
0.820000	2.270499
0.840000	2.316366
0.860000	2.363159
0.880000	2.410898
0.900000	2.459602
0.920000	2.509289
0.940000	2.559980
0.960000	2.611695
0.980000	2.664454
1.000000	2.718280
1.020000	2.773193
1.040000	2.829215
1.060000	2.886369
1.080000	2.944677
1.100000	3.004164
1.120000	3.064852
1.140000	3.126766
1.160000	3.189931
1.180000	3.254372
1.200000	3.320114
1.220000	3.387185
1.240000	3.455611
1.260000	3.525418
1.280000	3.596637
1.300000	3.669293
1.320000	3.743418
1.340000	3.819040
1.360000	3.896190
1.380000	3.974898
1.400000	4.055196
1.420000	4.137116
1.440000	4.220692
1.460000	4.305955
1.480000	4.392941
1.500000	4.481685
1.520000	4.572221
1.540000	4.664585
1.560000	4.758816
1.580000	4.854951
1.600000	4.953027
1.620000	5.053085
1.640000	5.155164
1.660000	5.259305
1.680000	5.365550
1.700000	5.473941
1.720000	5.584522
1.740000	5.697337
1.760000	5.812431
1.780000	5.929849
1.800000	6.049640
1.820000	6.171851
1.840000	6.296530
1.860000	6.423729
1.880000	6.553497
1.900000	6.685886
1.920000	6.820950
1.940000	6.958742
1.960000	7.099318
1.980000	7.242733
2.000000	7.389046
2.020000	7.538315
2.040000	7.690599
2.060000	7.845959
2.080000	8.004458
2.100000	8.166158
2.120000	8.331126
2.140000	8.499425
2.160000	8.671125
2.180000	8.846293
2.200000	9.025000
2.220000	9.207317
2.240000	9.393317
2.260000	9.583075
2.280000	9.776665
2.300000	9.974167
2.320000	10.175658
2.340000	10.381220
2.360000	10.590935
2.380000	10.804886
2.400000	11.023159
2.420000	11.245841
2.440000	11.473022
2.460000	11.704792
2.480000	11.941244
2.500000	12.182473
2.520000	12.428576
2.540000	12.679649
2.560000	12.935795
2.580000	13.197115
2.600000	13.463714
2.620000	13.735699
2.640000	14.013179
2.660000	14.296264
2.680000	14.585067
2.700000	14.879705
2.720000	15.180294
2.740000	15.486957
2.760000	15.799814
2.780000	16.118991
2.800000	16.444616
2.820000	16.776819
2.840000	17.115733
2.860000	17.461493
2.880000	17.814239
2.900000	18.174110
2.920000	18.541251
2.940000	18.915809
2.960000	19.297933
2.980000	19.687777
3.000000	20.085496
3.020000	20.491250
3.040000	20.905200
3.060000	21.327513
3.080000	21.758357
3.100000	22.197905
3.120000	22.646332
3.140000	23.103818
3.160000	23.570546
3.180000	24.046702
3.200000	24.532477
3.220000	25.028066
3.240000	25.533666
3.260000	26.049480
3.280000	26.575714
3.300000	27.112579
3.320000	27.660289
3.340000	28.219063
3.360000	28.789126
3.380000	29.370704
3.400000	29.964032
3.420000	30.569345
3.440000	31.186886
3.460000	31.816902
3.480000	32.459646
3.500000	33.115374
3.520000	33.784348
3.540000	34.466837
3.560000	35.163113
3.580000	35.873454
3.600000	36.598146
3.620000	37.337477
3.640000	38.091743
3.660000	38.861247
3.680000	39.646296
3.700000	40.447204
3.720000	41.264291
3.740000	42.097884
3.760000	42.948317
3.780000	43.815930
3.800000	44.701070
3.820000	45.604091
3.840000	46.525354
3.860000	47.465228
3.880000	48.424089
3.900000	49.402320
3.920000	50.400312
3.940000	51.418465
3.960000	52.457186
3.980000	53.516891
